entity	layer	cells	best_alpha_topk	best_relprob_topk	best_alpha_top1	best_relprob_top1	baseline_relprob	wrong_relprob_at_best_topk	success_topk	topk_needed
Tokyo	1	L1-N188,L1-N17659,L1-N12957,L1-N18333,L1-N7920	4.0	1.7874452646901948	4.0	1.7877182123267261	0.01899334476143296	0.02551892885439565	1	0
Francis	2	L2-N2926,L2-N13215,L2-N7057,L2-N7783,L2-N15958	4.0	1.7456374375685093	4.0	1.755552544662014	0.9054650311401201	0.9525822377535985	1	0
Aliens	1	L1-N7483,L1-N16248,L1-N17810,L1-N5290,L1-N1511	4.0	1.7197291786888564	4.0	1.683378161389008	0.5486612022381483	0.5508228198226548	1	0
David	2	L2-N13244,L2-N18503,L2-N17505,L2-N16643,L2-N74	64.0	1.7179741256112995	64.0	1.7354820197985723	0.5679348634317133	1.13561343318455	1	0
Boston	3	L3-N18601,L3-N18886,L3-N16050,L3-N6802,L3-N6281	4.0	1.694281340293279	4.0	1.6922894104656112	0.003816657304245942	0.0031743518161350265	1	0
London	2	L2-N17407,L2-N8188,L2-N11513,L2-N12883,L2-N5516	2.0	1.6875394615050523	4.0	1.6705810023196694	0.16674025876989623	0.2594716141576604	1	0
Melbourne	1	L1-N5250,L1-N12482,L1-N13667,L1-N88,L1-N917	4.0	1.6174297460770681	4.0	1.6119657970090608	0.07643206905041955	0.10761440871006032	1	0
Japan	1	L1-N7726,L1-N345,L1-N11098,L1-N13236,L1-N698	16.0	1.6171061130426327	16.0	1.617435882500934	0.10940722317189369	0.053224444384380114	1	0
Singapore	1	L1-N7100,L1-N2219,L1-N10101,L1-N13991,L1-N8796	2.0	1.587702733305944	2.0	1.6482244904579777	1.2854577213677678	0.0749515447978982	1	0
Jesus in Islam	1	L1-N5588,L1-N15859,L1-N10230,L1-N2217,L1-N3147	4.0	1.532357387914729	4.0	1.5323982828999976	0.060406497456649	0.08828735949832474	1	0
Sri Lanka	2	L2-N6010,L2-N3764,L2-N6282,L2-N17044,L2-N14706	4.0	1.4616813004328522	4.0	1.489266060729523	0.061671433303666985	0.0370449916708483	1	0
Dublin	4	L4-N3121,L4-N1713,L4-N5591,L4-N8891,L4-N3852	4.0	1.447594479359733	4.0	1.444577861157315	0.08094388607881056	0.12229331992604583	1	0
Empire of Japan	1	L1-N7726,L1-N10351,L1-N7707,L1-N7909,L1-N2077	8.0	1.4325655719545944	8.0	1.4323259554872185	0.06727395523479306	0.03575549706258814	1	0
Oregon	4	L4-N4925,L4-N12252,L4-N2131,L4-N8877,L4-N7605	4.0	1.4043012113199635	4.0	1.416473772827037	0.03643231536557142	0.00561661064593475	1	0
Prague	3	L3-N14586,L3-N12806,L3-N11908,L3-N7646,L3-N6435	4.0	1.3975641771389602	4.0	1.401641324247933	0.0981330949607352	0.14251157621798638	1	0
Troy	2	L2-N17460,L2-N11895,L2-N8961,L2-N7416,L2-N5020	2.0	1.377618489455147	2.0	0.9960444757742604	0.5527778158142896	0.5597668459907219	1	0
Jesus	1	L1-N8526,L1-N17531,L1-N1392,L1-N6598,L1-N1518	128.0	1.373164773110479	128.0	1.3360887836236606	0.4816004714072797	1.1376736695977063	1	0
Oasis	3	L3-N13059,L3-N11545,L3-N6351,L3-N17140,L3-N921	1.0	1.3603659794239158	1.0	1.3595663925372066	0.18976183907888172	0.23939019629954877	1	0
Seven	2	L2-N9649,L2-N3517,L2-N2473,L2-N13894,L2-N10275	2.0	1.3297145624243132	2.0	1.3263476489561148	0.4745249812414713	0.38053441596831356	1	0
Training Day	4	L4-N7991,L4-N10455,L4-N10083,L4-N17718,L4-N16527	1.0	1.3234086638157627	1.0	1.3213969054459522	1.232922919679908	1.2120830772684557	1	0
South Africa	1	L1-N1385,L1-N13991,L1-N17525,L1-N16510,L1-N11770	8.0	1.3007962712856218	8.0	1.1412980497242164	0.01971265325171709	0.017109913964182936	1	0
Battlefield	2	L2-N10945,L2-N17028,L2-N18178,L2-N11064,L2-N5801	16.0	1.2492234820521049	16.0	1.2497114527249906	0.29522055335381353	0.5964414227557208	1	0
